ID,Traditional,Simplified,Level,Pinyin,POS,Meaning,Compounds,Examples,WFreq,SFreq,MOE
958,套,套,3,tào,M,set,一套衣服，一套家具，一套書。,我買了一套新衣服。因為剛剛搬家，所以他買了一整套新的家具。,157,100,10247
959,提,提,3,tí,V,to carry (hanging) down from the hand / to take out (money),提著……（物品），提錢。,他今天提著新買的包包逛街。 / 我去銀行提錢。,134,73,10701 33408
960,停,停,3,tíng,V,to stop,停下來，停在，停車。,雨停了。媽媽把車停在停車場。他怎麼說話說到一半就停下來了？,89,73,11349
961,停車場,停车场,3,tíngchēchǎng,N,parking lot,一座停車場。,我把車子停在附近的停車場。,11,6,11372
962,同意,同意,3,tóngyì,V,to agree with,同意……的看法。,我同意你的看法。,123,45,12014
963,頭痛,头痛,3,tóutòng,Vs,annoyed,頭痛的問題。,辦簽證很麻煩，讓人很頭痛。,27,24,10360
964,腿,腿,3,tuǐ,N,leg,兩條腿，大腿，小腿，一雙長腿。,腿長的人走路一定比較快嗎？,79,27,11757
965,哇,哇,3,wa,Ptc,Wow!,,哇！這裡的風景真漂亮。 / 弟弟聽到可怕的事情，哇的一聲哭了出來。,29,221,43102 43128
965,哇,哇,3,wā,Ptc,Wow!,,哇！這裡的風景真漂亮。 / 弟弟聽到可怕的事情，哇的一聲哭了出來。,29,221,43102 43128
966,忘記,忘记,3,wàngjì,Vp,to forget,不會忘記，不要忘記。,我昨天忘記寫作業了。他忘記我們今天要一起吃晚餐。不要忘記明天要上課喔！,69,73,44098
967,襪子,袜子,3,wàzi,N,socks,一雙襪子。,我的襪子破了，必須再買一雙新的。,19,19,43127
968,危險,危险,3,wéixiǎn,Vs/N,dangerous / danger,,一邊走路一邊看手機很危險。 / 發生危險的時候，可以打119。,121,110,43327
969,衛生紙,卫生纸,3,wèishēngzhǐ,N,toilet paper,一包衛生紙，一捲（ㄐㄩㄢˇ，jyuǎn）衛生紙。,廁所裡面沒有衛生紙了！,4,39,43626
970,位子,位子,3,wèizi,N,seat / place,一個位子，坐……的位子，坐錯位子，換位子，一個位子，沒有位子。,不好意思，這是我的位子。我要坐窗戶旁邊的位子。 / 這附近常常找不到位子停車。這裡人太多了，我連站的位子都沒有。,17,8,43552
971,聞,闻,3,wén,V,smell,聞到……（的味道），聞起來。,這碗牛肉湯聞起來好香。,66,40,43935
972,溫泉,温泉,3,wēnquán,N,hot spring,泡溫泉。,台灣很多地方都有溫泉。,9,8,43822
973,文法,文法,3,wénfǎ,N,grammar,,我覺得中文文法不太難。,8,3,43853
974,烏龍茶,乌龙茶,3,wūlóngchá,N,oolong tea,一杯烏龍茶。,爺爺很喜歡喝烏龍茶。;台灣的烏龍茶很有名。,1,8,42649
975,無聊,无聊,3,wúliáo,Vs,boring / to be bored,無聊的活動，無聊的電影，覺得無聊。,這部電影很無聊，我看不下去了。 / 暑假天天在家，我覺得好無聊。,42,27,42743
976,舞,舞,3,wǔ,N,dance,一支舞。,你跳的那種舞我沒學過。,25,34,42982
977,相當,相当,3,xiāngdāng,Adv,quit,相當＋Vs，相當重要，相當困難。,有些學生覺得寫漢字相當困難。,246,288,27857
978,消息,消息,3,xiāoxí,N,"news, information",好消息，壞消息。,最近沒有他的消息，不知道他好不好。,127,52,26898
979,校園,校园,3,xiàoyuán,N,campus,,這個學校的校園很大，所以大部分的學生都騎腳踏車上課。,29,41,27128
980,洗髮精,洗发精,3,xǐfǎjīng,N,shampoo,一瓶洗髮精。,妹妹買了一瓶新的洗髮精，有橘子的香味。,3,13,
981,行李,行李,3,xínglǐ,N,luggage,一件行李，行李箱。,明天就要去台灣了，行李準備好了嗎？,23,16,28218
982,興趣,兴趣,3,xìngqù,N,interest,A對B（沒）有興趣。,他的興趣是做點心。,141,117,28344
983,新聞,新闻,3,xīnwén,N,news,電視新聞，網路新聞。,電視新聞說，明天天氣會變好。,91,108,27783
984,新鮮,新鲜,3,xīnxiān,Vs,"fresh (fruits, food, air etc.)",,夏天的時候可以吃到新鮮的芒果是一件很開心的事。我喜歡跟朋友一起去爬山，因為山上的空氣很新鮮。,37,71,27757
985,信箱,信箱,3,xìnxiāng,N,mailbox,一個信箱。,我今天打開信箱，裡面一封信都沒有。,9,3,27823
986,兄弟,兄弟,3,xiōngdì,N,brothers,兄弟姊妹，兩兄弟。,你有幾個兄弟姊妹？這家店是他們兩兄弟一起開的。,120,85,28845 28847
987,洗衣機,洗衣机,3,xǐyījī,N,washing machine,一部洗衣機。,請把這些髒衣服丟進洗衣機裡洗一洗。,7,23,26416
988,選,选,3,xuǎn,V,"to choose, to select, to take",選地點，選課。,她看了半天，最後選了一條紅色的裙子。,65,121,28638
989,學期,学期,3,xuéqí,N,semester,一個學期，上學期，下學期。,我上學期很認真學中文，所以進步很多。我這學期要好好學習。,19,17,28501
990,學生證,学生证,3,xuéshēngzhèng,N,student ID card,,有學生證才能在學校圖書館借書。,1,0,
991,牙膏,牙膏,3,yágāo,N,toothpaste,一條牙膏。,你等一下去超市的時候，請幫我買一條牙膏和一塊肥皂。,4,4,40810
992,鹽,盐,3,yán,N,salt,,有人覺得吃西瓜的時候加一點鹽，會讓西瓜吃起來更甜。,33,65,41770
993,洋蔥,洋葱,3,yángcōng,N,onion,一個洋蔥。,我今天晚上做沙拉，加了一點洋蔥進去。,9,10,42262
994,研究,研究,3,yánjiù,V/N,"to study, to research / research",對……有研究。,他常常和同學一起研究東方文化。 / 這一年來他做了許多漢字的研究。,794,375,41673
995,樣,样,3,yàng,M,"type, kind",三樣菜，四樣禮物。,今天晚上我做了好幾樣菜，打算請朋友來家裡吃飯。,124,498,42367
996,鑰匙,钥匙,3,yàoshi,N,key,一把鑰匙，大門鑰匙。,出門要記得帶鑰匙。,45,10,41195
997,牙刷,牙刷,3,yáshuā,N,toothbrush,一支牙刷。,醫生建議最好每三個月換一支牙刷。,4,5,40816
998,已,已,3,yǐ,Adv,already,,我已在台灣學了兩個月的中文。,783,245,40437
999,影響,影响,3,yǐngxiǎng,V/N,to affect / influence,受影響，影響健康，好的影響。,喝太多酒會影響健康。 / 這次颱風帶來很大的影響。,363,505,42531
1000,飲料,饮料,3,yǐnliào,N,"drink, beverage",一杯飲料。,夏天時，喝一杯冰的飲料會讓人覺得很舒服。,28,39,42146
1001,油,油,3,yóu,N/Vs,"fat, grease, oil / oil, gasoline / greasy, oily, fatty",植物油，加一點油。,炒菜的時候少放一點油才健康。 / 我的車沒油了，要去加一點油。 / 很多外國人覺得臺灣菜太油了。,51,148,41285
1002,郵件,邮件,3,yóujiàn,N,mail,一封郵件。,我收到一封從日本朋友那裡寄給我的郵件。,39,7,41385
1003,遊戲,游戏,3,yóuxì,N,game,玩遊戲，一種遊戲。,老師用玩遊戲的方法讓我們記住漢字。,132,59,41357
1004,有趣,有趣,3,yǒuqù,Vs,interesting,有趣的故事。,這個故事很有趣，大家都聽得很開心。,108,134,41465
1005,越,越,3,yuè,Adv,more and more,越來越，越……越……。,天氣越來越熱了。來這裡旅行的人越多，餐廳的生意越好。,303,297,44638
1006,雨傘,雨伞,3,yǔsǎn,N,umbrella,一把雨傘。,山上常常下雨，你們得帶著雨衣或是雨傘。,7,3,44335
1007,雨衣,雨衣,3,yǔyī,N,"raincoat, rainwear",一件雨衣，穿雨衣。,外面下雨了，先穿上雨衣再去騎摩托車。,4,5,44337
1008,浴室,浴室,3,yùshì,N,bathroom,一間浴室。,今天流了很多汗，我一回家就進浴室洗澡。,18,8,44429
1009,髒,脏,3,zāng,Vs,dirty,髒衣服。,這件衣服髒了，換一件乾淨的。,21,40,37293
1010,長大,长大,3,zhǎngdà,V,to grow up,,弟弟說他長大以後要當醫生。,104,157,30150
1011,照顧,照顾,3,zhàogù,Vs/N,to take care of / taking care,照顧自己，照顧別人。,如果你好好地照顧自己，就不會生病了。 / 你幫了我很多忙，謝謝你的照顧。,151,282,29696
1012,這樣,这样,3,zhèyàng,Det/Adv,"this kind, like this, such / this way, so that",這樣的人，這樣的事。,像他這樣的人，很適合當老師。 / 這樣做可以讓事情更簡單。,1129,2794,29553
1013,直接,直接,3,zhíjiē,Adv,directly,,開會的時候，他總是直接說出自己的看法。,197,275,29002
1014,只好,只好,3,zhǐhǎo,Adv,have no choice but to,,太晚了，沒有捷運了，我只好坐計程車回家。,141,54,29144
1015,只要,只要,3,zhǐyào,Conj,as long as,只要……，就……。,只要每天運動，身體就會健康。,426,461,29150
1016,中心,中心,3,zhōngxīn,N,center / institutional center,中心點，市中心，文化中心，活動中心。,圖書館在我們學校的中心。台北車站是台北交通的中心。 / 台南市文化中心這星期有很多活動。,161,193,31164
1017,週,周,3,zhōu,M,week,一週，兩週。,開學第一週跟第二週是選課的時間。,106,53,29756
1018,裝,装,3,zhuāng,V,to pack,裝進去。,為了搬家方便，我把書都裝進箱子裡。,77,86,31058
1019,資料,资料,3,zīliào,N,"information, papers",一份資料，查資料。,因為下禮拜三要報告，所以我們一起去圖書館查資料。,206,159,36643
1020,自行車,自行车,3,zìxíngchē,N,bicycle,騎自行車，一輛自行車。,我每天早上都騎自行車去學校上課。,10,15,36847
1021,最好,最好,3,zuìhǎo,Adv,(you) had better,,有糖的飲料容易讓人變胖，最好不要喝太多,96,64,37590
1022,做法,做法,3,zuòfǎ,N,way of handling or making sth,,這個蛋糕的做法很容易。,100,68,
1022,作法,作法,3,zuòfǎ,N,way of handling or making sth,,這個蛋糕的做法很容易。,100,68,
1023,班次,班次,3*,bāncì,N,number of runs or flights,公車班次，火車班次，飛機班次，班次很多。,往學校的公車班次非常多。,2,1,908
1024,辦,办,3*,bàn,V,"to deal with, to prepare",辦事情，辦活動。,每年12月的時候，我的國家都會辦活動，讓大家一起開心地唱歌、跳舞。,79,75,1017
1025,半夜,半夜,3*,bànyè,N,midnight,半夜二點，半夜裡。,他每天晚上都練習寫書法，寫到半夜一點才睡覺。,27,16,991
1026,包括,包括,3*,bāokuò,V,to include,,我和朋友去過台灣很多地方，包括台北、台中、台南。,273,281,626
1027,保護,保护,3*,bǎohù,V,to protect,保護自己，保護環境，保護動物。,爸爸媽媽應該保護小孩的安全。大家越來越懂得保護環境的重要。,131,211,678
1028,倍,倍,3*,bèi,M,times,一倍。,他的房間比我的大一倍，所以房租也比我多一倍。,102,132,588
1029,標準,标准,3*,biāozhǔn,Vs/N,"standard / (an official)standard, norm, criterion",,他在日本住了幾年，日文說得很標準。 / 這個學校的標準很高，成績要很好才可以進去。,116,86,1491
1030,鼻水,鼻水,3*,bíshuǐ,N,"nasal mucus, snot",流鼻水。,她病了好幾天，一直咳嗽、流鼻水。,2,1,
1031,伯父,伯父,3*,bófù,N,uncle,,大伯父下午都會去河邊散步。伯父好，我來看您了！,6,4,161
1032,伯母,伯母,3*,bómǔ,N,aunt,,我伯母早上都會去市場買菜。伯母好，好久不見！,3,10,160
1033,步,步,3*,bù,M,pace,走幾步。,你只要多走幾步路就會看到更大的超級市場。,179,131,2365
1034,不停,不停,3*,bùtíng,,,,,85,34,1979
1035,不得了,不得了,3*,bùdéliǎo,Vs,"extremely, terrifically,  terrible",Vs＋得不得了，真不得了。,這家餐廳好吃得不得了！不得了！我忘了今天要考試。,25,15,1958
1036,不管,不管,3*,bùguǎn,Conj,no matter,,不管下不下雨，我都去運動。不管做什麼事，他都很認真。,166,238,2034
1037,參觀,参观,3*,cānguān,V,to look around,參觀＋地方。,老師帶我們去參觀學校的圖書館。,36,45,38107
1038,餐桌,餐桌,3*,cānzhuō,N,dining table,一張餐桌。,除夕夜的時後，餐桌上放滿了各種好吃的菜。,27,17,38132
1039,層,层,3*,céng,M,classifier for floor / layer,十層樓，三層蛋糕。,我的教室在三樓，每天爬兩層樓梯。 / 他結婚的時候，準備了一個五層大蛋糕。天氣太冷了，我穿了好幾層衣服還覺得冷。,143,147,38238
1040,差,差,3*,chā,Vs,"short, poor / difference between",差三歲。,我這次考試考得很差。我差三分鐘就搭上那班車了。 / 我和姊姊差了三歲。這兩間房子一樣大，但是房租差了一千元。,97,159,31519 31705 37760 38301
1041,吵,吵,3*,chǎo,Vs/V,noisy / to quarrel / to disturb by making a noise,跟……吵起來。,我家在大馬路旁邊，很多車子，所以很吵。市場人很多，很吵。 / 因為停車的問題，他們快要吵起來了。 / 他在睡覺，不要吵他。,27,48,31795
1042,乘,乘,3*,chéng,V,to multiply,,五乘二是十。5X2=10,43,16,32409 35186
1043,程度,程度,3*,chéngdù,N,"degree, level",不同程度，各種程度。,我們的語言中心有不同程度的法文課。,167,106,32403
1044,成功,成功,3*,chénggōng,Vs/N,"to succeed, to achieve success / success",,這次的活動，辦得非常成功。 / 他的成功，完全是因為自己的努力。,332,203,32301
1045,除,除,3*,chú,V,divided by,,十除以二是五。10÷2=5,55,54,32599
1046,除了,除了,3*,chúle,Prep,"except, besides, in addition to",1.除了……（以外/外），都……2.除了……（以外/外），也/還……。,1.台灣小吃除了臭豆腐以外，我都吃。2.除了游泳以外，他們也喜歡踢足球。,299,504,
1047,傳,传,3*,chuán,V,"to pass / to deliver, to send",傳球，傳簡訊。,請把作業本傳給後面的同學。 / 他傳簡訊給我，說他今天不來上課。,62,50,31005 32827
1048,春季,春季,3*,chūnjì,N,spring (time),,一年四季當中，我最喜歡春季。,6,6,32900
1049,春假,春假,3*,chūnjià,N,spring break,放春假。,春假的時候我們去日本旅行。,1,1,32901
1050,出生,出生,3*,chūshēng,V,to be born,在……出生。,我在美國出生，在台灣長大。請在這裡寫你的出生年、月、日。,92,80,32539
1051,除夕,除夕,3*,Chúxì,N,Lunar New Year’s Eve,除夕夜。,每年除夕，我全家都一起吃晚餐。,4,3,32611
1052,從來,从来,3*,cónglái,Adv,from then till now,從來沒（有），從來不。,他從來沒出過國。我從來不遲到。,159,100,38466
1053,存,存,3*,cún,V,"to deposit / to save, to keep (in the archive)",存錢，存資料。,我把錢存在銀行。 / 我把資料存在電腦裡。,36,49,38405
1054,答案,答案,3*,dá'àn,N,answer,標準答案。,「先有雞，還是先有蛋？」這個問題沒有標準答案。,124,98,6743
1055,帶來,带来,3*,dàilái,Vp,to bring about,帶來希望，帶來影響，給……帶來……。,這個颱風帶來了很大的影響。這個消息給我們帶來很大的希望。,160,189,
1056,大陸,大陆,3*,dàlù,N,"continent, mainland / Mainland China",美洲大陸，歐洲大陸，中國大陸。,今天上課，我介紹歐洲大陸的國家。 / 他下個月要去大陸工作。,91,152,7083
1057,當時,当时,3*,dāngshí,N,"then, at that time",,A：「爸爸，照片裡你穿的衣服好奇怪。」B：「這件上衣的樣子是當時最流行的。」,477,365,8056
1058,當中,当中,3*,dāngzhōng,N,"among, in the middle",在……當中。,在這些語言課當中，我最想上德文課。,96,376,8051
1059,擔心,担心,3*,dānxīn,Vs,to worry about,,我擔心明天的考試，所以晚上都睡不好。你應該早點回家，不要讓父母擔心。,169,241,7938
1060,得到,得到,3*,dédào,Ph,to get,得到機會。,他得到一個可以出國讀書的機會。在傳統社會，結婚要得到父母的同意。,335,210,
1061,等,等,3*,děng,Ptc,"etc., and so on",,這家店賣很多種甜點，例如：冰淇淋、巧克力、蛋糕等等。,153,161,
1061,等等,等等,3*,děngděng,Ptc,"etc., and so on",,這家店賣很多種甜點，例如：冰淇淋、巧克力、蛋糕等等。,153,161,8199
1062,等到,等到,3*,děngdào,Ph,"wait until, by the time, when",,等到大家都來了，活動就可以開始了。等到放暑假，我們就可以出國旅行了。,102,80,
1063,低頭,低头,3*,dītóu,V,to lower one’s head,,走路的時候，不要低頭看手機。他不跟我說話，只低著頭吃飯，好像生氣了。,27,10,8245
1064,底,底,3*,dǐ,N,bottom / the end of a month or a year,水底，年底，月底。,他的手機掉到水底，找不到了。 / 還沒到月底，我的錢就花光了。我朋友年底會來台灣旅行。,125,130,7456 8342
1065,地點,地点,3*,dìdiǎn,N,location,,請告訴我上課的時間和地點。我們這禮拜旅行的地點是淡水。,60,52,8427
1066,東方,东方,3*,dōngfāng,N,east,東方人，東方文化。,早上五點多的時候，太陽從東方慢慢上來。他因為喜歡東方文化，所以到亞洲來旅行。,47,24,9759
1067,動,动,3*,dòng,V,to move / to touch,,我要幫你們照相，站好，別動。我坐太久了，要起來動一動。這個箱子裝了很多書，我搬不動。 / 不要動我的東西！,153,160,9849
1068,豆,豆,3*,dòu,N,bean,一顆豆子，紅豆，綠豆。,夏天很熱，喝一碗冰冰的綠豆湯特別舒服。,25,47,7809
1068,豆子,豆子,3*,dòuzi,N,bean,一顆豆子，紅豆，綠豆。,夏天很熱，喝一碗冰冰的綠豆湯特別舒服。,25,47,7820
1069,朵,朵,3*,duǒ,M,classifier for flower,一朵花。,女朋友生日的時候，他送了九十九朵花。,50,23,9442
1070,多麼,多么,3*,duóme,Adv,how,,你看！今天天氣多麼好，我們出們走走吧！不管雨下得多麼大，我都會去上課。,92,31,9371
1071,法律,法律,3*,fǎlǜ,N,law,,他是學法律的,83,33,5249
1072,煩,烦,3*,fán,Vs/V,"to be annoyed, upset / to bother",,最近又要考試，又要找房子搬家，讓我很煩。 / 他最近工作很多，別去煩他。,17,22,5529
1073,方,方,3*,fāng,N,"direction, place",北方。,下公車的時候，要注意後方來的車。開車的時候要注意前方。,126,67,5876
1074,方面,方面,3*,fāngmiàn,N,aspect,各方面，在……方面。,他常問老師文法方面的問題。,280,228,5878
1075,方向,方向,3*,fāngxiàng,N,direction,,這個颱風往日本的方向去，不會影響台灣。,146,124,5884
1076,房,房,3*,fáng,N,room,雙人房，三人房，客房。,我們訂了一間三人房。,66,24,5967
1077,房屋,房屋,3*,fángwū,N,house,一間房屋。,鄉下的房屋一般會有院子。,20,37,5981
1078,放心,放心,3*,fàngxīn,Vs,"to feel relieved, to feel assured",,我一到台灣就打電話回家，讓家人放心。我父母不放心我一個人去旅行。,38,45,6055
1079,發燒,发烧,3*,fāshāo,Vp,fever,發高燒。,我好像發燒了，身體不太舒服，就趕快去看病。,14,16,5188
1080,改,改,3*,gǎi,V,"to change / to grade (paper, assignment) / to correct (prounciation)",改時間，改地點，改作業，改錯字。,開會的時間改到下午兩點。 / 老師把作業改完了。 / 老師常常改學生的錯字。,51,65,15985
1081,剛好,刚好,3*,gānghǎo,Vs/Adv,appropriate / exactly,剛好聽到，剛好看到。,這件衣服的大小剛好，很合適。你來得剛好，我有事情要找你。 / 哥哥離開學校的時候，剛好開始下大雨。,46,196,16508
1082,感覺,感觉,3*,gǎnjué,N/V,"feeling / be aware of, to feel",奇怪的感覺，感覺到。,到一個新的國家，心裡會有不安全的感覺。 / 考完試，我感覺很輕鬆。,373,534,16432
1083,高級,高级,3*,gāojí,Vs,advanced,高級旅館，高級餐廳。,"他住的旅館很高級，一個晚上要15,000元。",39,15,16099
1084,公路,公路,3*,gōnglù,N,"highway, freeway",高速公路。,海邊的公路風景很美。過年的時候，高速公路上的車很多,32,43,17712
1085,工人,工人,3*,gōngrén,N,worker,,我父親是工人，每天一大早就出門工作，很晚才回家。,48,28,17597
1086,光,光,3*,guāng,Vp,to finish,吃光，花光。,他一個禮拜就把一個月的生活費花光了。,150,192,17492
1087,姑姑,姑姑,3*,gūgu,N,father's sister,,我有兩個姑姑，一個叔叔。,20,13,16627
1087,姑,姑,3*,gū,N,father's sister,,我有兩個姑姑，一個叔叔。,20,13,16620
1088,姑媽,姑妈,3*,gūmā,N,"father's sister, paternal aunt",,我有兩個姑媽，一個叔叔。,6,1,16623
1089,櫃子,柜子,3*,guìzi,N,"cabinet, chest of drawers",衣櫃，鞋櫃，書櫃。,弟弟把玩具放進櫃子裡。,17,10,17300
1089,櫃,柜,3*,guì,N,"cabinet, chest of drawers",衣櫃，鞋櫃，書櫃。,弟弟把玩具放進櫃子裡。,17,10,17298
1090,國小,国小,3*,guóxiǎo,N,elementary school (Taiwan),一所國小，國小……年級。,我妹妹現在是國小四年級的學生。,20,99,17009
1091,害怕,害怕,3*,hàipà,Vs,"to fear, to be afraid of",覺得害怕，害怕……事。,晚上我一個人在家，覺得很害怕。大部分的學生都害怕考試。,125,81,19323
1092,汗,汗,3*,hàn,N,"perspiration, sweat",,第一次跟女朋友的父親母親見面，他很緊張，汗一直流。,42,18,19621 19698
1093,合適,合适,3*,héshì,Vs,"suitable, appropriate",,要是在台灣找到合適的工作，我就不回國了。這件衣服大小合適，你穿起來很好看。,28,7,19079
1094,合作,合作,3*,hézuò,V/N,to cooperate / cooperation,和……合作，跟……合作，合作計畫。,他們合作開了一間公司。我和同學合作，寫完一個研究報告。 / 這兩家公司有合作的機會。,117,128,19084
1095,畫家,画家,3*,huàjiā,N,painter,一位畫家。,妹妹說她長大以後想當畫家。,35,31,20222
1096,環保,环保,3*,huánbǎo,N,environmental protection,,現代人越來越注意環保了。,13,396,20744
1097,極,极,3*,jí,Adv,"very, extremely",好極了，極好，級熱。,好極了，我買到回家的飛機票了！,224,79,21405
1098,加班,加班,3*,jiābān,V,to work overtime,晚上加班，加（＋時間）的班，加班費。,因為工作非常多，所以這個禮拜我們每天加班。,6,6,21727
1099,家具,家具,3*,jiājù,N,furniture,兩件家具，一套家具。,過年快到了，我們家換了許多新家具。,24,25,21829
1099,傢俱,家具,3*,jiājù,N,furniture,兩件家具，一套家具。,過年快到了，我們家換了許多新家具。,24,25,
1100,減,减,3*,jiǎn,V,to subtract,,五減二是三。5-2=3,19,92,22883
1101,建議,建议,3*,jiànyì,N/V,"suggestion, recommendation / to propose, to suggest",接受建議，提出建議，A建議B做什麼事。,如果我的朋友要來台灣念書，我會給他一些建議。 / 醫生建議我多喝水、多休息，感冒就會好。,195,112,23026
1102,教授,教授,3*,jiàoshòu,N,professor,,我的母親是一位大學教授，她很喜歡這份工作。,167,175,22552
1103,教書,教书,3*,jiāoshū,V,to teach,在……教書。,我的姊姊在一所高中教書，學生們都很喜歡她。,16,17,22352
1104,叫做,叫做,3*,jiàozuò,V,to be called,把……叫做……。,他的名字叫做Ian。以前把陽明山叫做草山。,97,331,
1105,假日,假日,3*,jiàrì,N,holiday,,10月10日是台灣的假日。我假日都會回家看爸爸媽媽。,11,34,21952
1106,接著,接着,3*,jiēzhe,Adv,then,,我上完中文課，接著上歷史課。,243,100,
1106,接着,接着,3*,jiēzhe,Adv,then,,我上完中文課，接著上歷史課。,243,100,
1107,結果,结果,3*,jiéguǒ,N/Adv,result / in the end,研究結果，兩種結果。,如果事情沒有好的開始，就很難有好的結果。 / 我今天去書店買這個月的雜誌，結果賣完了。,484,379,22077
1108,結束,结束,3*,jiéshù,Vp,end,活動結束，比賽結束。,這學期的課結束了，明天開始放暑假。籃球比賽已經結束了，大家都走了。,152,124,22093
1109,節日,节日,3*,jiérì,N,festival,一個節日，傳統節日。,中秋節是台灣的傳統節日。,8,13,22151
1110,經常,经常,3*,jīngcháng,Adv,"often, frequently, regularly, constantly",,他上課經常遲到，讓老師很生氣。,196,102,23646
1111,精神,精神,3*,jīngshén,N,energy,精神好，有精神，沒精神。,運動以後，我的精神特別好。,305,197,23596
1112,金色,金色,3*,jīnsè,N,golden (color),金色的頭髮。,過年的時候我們會在紅色的紙上寫金色的字。,15,7,
1113,居留證,居留证,3*,jūliúzhèng,N,residence certificate,,請問外國人得在台灣住多久才能辦居留證？,1,1,
1114,開會,开会,3*,kāihuì,Ph,to have a meeting,開了一個鐘頭的會。,這個建議很好，可以在下次開會的時候討論。,31,23,18175
1115,開玩笑,开玩笑,3*,kāi wánxiào,Ph,to play a joke,開一個玩笑，開別人玩笑。,他很喜歡開玩笑。開別人玩笑的時候要小心，可能會讓別人生氣。,26,35,18230
1116,看法,看法,3*,kànfǎ,N,"view, opinion",對……的看法，不同的看法。,他們對這件事情有不同的看法。,118,45,18444
1117,咳,咳,3*,ké,V,to cough,,他病得很嚴重，咳個不停。,11,3,17968 19222
1118,咳嗽,咳嗽,3*,késòu,V,to cough,,最近天氣變冷，感冒、咳嗽的人也多了。,15,13,17969
1119,可惜,可惜,3*,kěxí,Vs,"it is a pity, what a pity, unfortunately",,這次來台灣，沒有時間去台北101，我覺得很可惜。,66,56,17998
1120,困難,困难,3*,kùnnán,Vs/N,difficult / difficulty,,要同時學好很多種語言非常困難。 / 我覺得學中文最大的困難是寫字。,170,207,18829
1121,籃子,篮子,3*,lánzi,N,basket,一個籃子，提著籃子。,明天要去野餐，所以我把準備好的食物放進籃子裡。,8,9,13763
1122,老闆娘,老板娘,3*,lǎobǎnniáng,N,female owner or male owner’s wife,,餐廳很忙的時候，老闆娘也會來幫忙。,11,13,13480
1122,老板娘,老板娘,3*,lǎobǎnniáng,N,female owner or male owner’s wife,,餐廳很忙的時候，老闆娘也會來幫忙。,11,13,13478
1123,老太太,老太太,3*,lǎotàitai,N,old lady,一位老太太。,那位老太太每天早上都會去公園運動，所以現在身體還是很健康。,22,5,13519
1124,類,类,3*,lèi,M,classifier for kind,,我喜歡吃西瓜、芒果、香蕉這一類甜甜的水果。,210,131,13405
1125,連,连,3*,lián,V/Conj,to connect / even,連在一起，連起來，連……都……。,法國和德國連在一起。老師要我們把漢字和拼音連起來。 / 台灣的夏天很熱，有時候連站著都會流汗。,362,284,14618
1126,臉色,脸色,3*,liǎnsè,N,complexion,臉色不好。,因為他感冒了，所以臉色看起來不太好。老闆今天臉色不好，我們說話要小心一點。,37,11,14778
1127,涼,凉,3*,liáng,Vs,cool,,十一月的時候，天氣涼了，出門要穿外套。,18,33,14967 15042
1128,了解,了解,3*,liǎojiě,V/N,"to understand, to to comprehend / understanding",,我不了解老師的意思。我不了解他這個人。 / 他對亞洲文化的了解不深。,375,339,14414
1128,瞭解,了解,3*,liǎojiě,V/N,"to understand, to to comprehend / understanding",,我不了解老師的意思。我不了解他這個人。 / 他對亞洲文化的了解不深。,375,339,14423
1129,禮貌,礼貌,3*,lǐmào,N,politeness,沒/有禮貌。,對別人要有禮貌。,35,16,14086
1130,零用錢,零用钱,3*,língyòngqián,N,pocket money,,爸爸媽媽一天給我100塊的零用錢。,6,27,15114
1131,例如,例如,3*,lìrú,Vs,"for example, for instance, such as",,我很喜歡吃甜點，例如：蛋糕、餅乾和巧克力。,302,125,14224
1132,流,流,3*,liú,V,to flow,流鼻水。,這條河最後會流到大海。,46,96,14446
1133,留下,留下,3*,liúxià,V,leave,,離開的時候，請不要留下垃圾。,116,74,
1134,利用,利用,3*,lìyòng,V,to make use of,利用時間，利用機會。,他雖然很忙，但常常利用時間讀書。他利用來台灣讀書的機會，到各處旅行。,181,301,14208
1135,毛,毛,3*,máo,N,animal’s hair,狗毛，貓毛。,我家有三隻貓，所以每天地上都有很多毛。,66,38,4002
1136,美麗,美丽,3*,měilì,Vs,beautiful,美麗的花，美麗的風景。,淡水河的風景非常美麗，有機會一定要去看看。,105,169,3946
1137,沒想到,没想到,3*,méi xiǎngdào,Ph,didn't expect,,我們打算今天去野餐，沒想到下雨了。我以為他不會說日文，沒想到他說得很好。,56,88,3862
1138,米,米,3*,mǐ,N,rice,白米，一包米。,用這種米做飯特別香、特別好吃。,140,199,4447
1139,母語,母语,3*,mǔyǔ,N,native language,,他的母語是英語。,7,6,4976
1140,目的,目的,3*,mùdì,N,purpose,,我來台灣的目的就是要學中文。,159,100,5040
1141,爬,爬,3*,pá,V,to climb / to crawl,爬樹，爬樓梯。,我家住在五樓，每天都要爬好多樓梯。 / 還不會走路的孩子在地上爬來爬去。,53,37,2406
1142,派對,派对,3*,pàiduì,N,party,一場派對，參加派對。,我今天晚上要去朋友家參加派對。,20,1,2584
1143,拼音,拼音,3*,pīnyīn,N,"phonetic transcription, pinyin",,你看拼音就知道這個字怎麼唸。,6,4,3215
1144,其實,其实,3*,qíshí,Adv,actually,,我以為他才五十歲，其實他已經六十多歲了。,431,2878,24448
1145,其中,其中,3*,qízhōng,N,"among, in",,台灣的水果很多，其中我最喜歡的是芒果。這次有二十個人參加比賽，我是其中一個。,353,207,
